x,y,score,orientation,width,height,template_id,band_id,cpin
7766,3387,0.9278180599212646,V,30,40,3,-1,
3747,3558,0.9277302026748657,V,30,40,3,-1,
7602,2856,0.9275504946708679,H,40,30,5,-1,
5628,4969,0.9275317192077637,V,30,40,3,-1,
7344,6603,0.927285373210907,H,40,30,0,-1,
8317,3564,0.9272750616073608,H,40,30,4,-1,
8066,6467,0.9269995093345642,V,30,40,3,-1,
5636,6600,0.926996648311615,H,40,30,5,-1,
8232,6646,0.9267867207527161,H,40,30,4,-1,
6613,6638,0.926783561706543,V,30,40,3,-1,
7503,6088,0.9266692996025085,H,40,30,1,-1,
4690,5632,0.926534116268158,V,30,40,3,-1,
7423,2851,0.9264354705810547,V,30,40,3,-1,
7119,6603,0.9262468814849854,H,40,30,4,-1,
6149,3393,0.9261738657951355,H,40,30,0,-1,
7338,4642,0.9261566996574402,V,30,40,0,-1,
6698,5433,0.9260008931159973,V,30,40,0,-1,
7290,4313,0.9259942770004272,H,40,30,4,-1,
5457,4306,0.9258875846862793,V,30,40,3,-1,
5500,4306,0.9257606863975525,V,30,40,3,-1,
5665,3178,0.9256355166435242,H,40,30,1,-1,
5800,4306,0.9254310727119446,V,30,40,3,-1,
8237,2851,0.9254044890403748,V,30,40,3,-1,
7847,6431,0.925358772277832,H,40,30,4,-1,
7809,4969,0.9252803325653076,V,30,40,3,-1,
5752,6602,0.9251468777656555,H,40,30,4,-1,
5581,6559,0.9251257181167603,H,40,30,4,-1,
6150,5016,0.9250485897064209,H,40,30,5,-1,
6949,5425,0.9249860644340515,H,40,30,1,-1,
7644,3564,0.9249598383903503,H,40,30,0,-1,
4255,3349,0.9249380826950073,H,40,30,1,-1,
7473,2858,0.9246684312820435,H,40,30,0,-1,
6106,6645,0.9245560169219971,H,40,30,0,-1,
5977,4975,0.9245296120643616,H,40,30,0,-1,
4689,3513,0.9245213866233826,V,30,40,3,-1,
6265,3392,0.9240667819976807,H,40,30,1,-1,
6565,5768,0.9238278269767761,H,40,30,4,-1,
7723,3516,0.9238259196281433,V,30,40,3,-1,
3493,3314,0.9236680269241333,V,30,40,0,-1,
5282,4720,0.923628568649292,H,40,30,4,-1,
3870,6087,0.9234380125999451,H,40,30,1,-1,
5414,6638,0.9232173562049866,V,30,40,3,-1,
7632,4634,0.9231675863265991,H,40,30,1,-1,
7387,4976,0.9231661558151245,H,40,30,0,-1,
4268,5467,0.9227968454360962,H,40,30,0,-1,
7637,3978,0.9227293133735657,V,30,40,0,-1,
8533,3016,0.9225074648857117,V,30,40,0,-1,
6399,3472,0.9224401116371155,V,30,40,3,-1,
8060,5726,0.9223482012748718,H,40,30,1,-1,
8575,5434,0.9220910668373108,V,30,40,0,-1,
5636,5766,0.9218906164169312,H,40,30,5,-1,
6192,5511,0.9218637347221375,H,40,30,0,-1,
6656,6424,0.9218440651893616,V,30,40,3,-1,
8189,4634,0.9217199087142944,H,40,30,1,-1,
8661,5434,0.9215893745422363,V,30,40,0,-1,
6485,4263,0.9214837551116943,V,30,40,3,-1,
4226,3560,0.9213261604309082,H,40,30,5,-1,
4685,4269,0.921216607093811,H,40,30,4,-1,
7344,5019,0.9210618138313293,H,40,30,0,-1,
9427,6669,0.9209334850311279,H,40,30,8,-1,EV245_N
9427,5465,0.920722246170044,H,40,30,8,-1,OV3
5245,3229,0.9207207560539246,V,30,40,0,-1,
5928,6638,0.920641303062439,V,30,40,3,-1,
7674,5382,0.9204976558685303,H,40,30,1,-1,
8189,4271,0.9204959869384766,H,40,30,4,-1,
6779,6645,0.9204805493354797,H,40,30,4,-1,
4996,2857,0.9202799797058105,H,40,30,0,-1,
